time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
1722583011,0.207637,-0.877203,-0.272745,-2.75068,-0.248822,1.91275,-0.154821,0.0015798,-0.0477749,-0.118176,-0.111182,-0.132694,0.104867,-0.274645,-0.0107853,0.326159,0.806785,0.759039,0.905902,-0.715925,1.875,0.29718,-0.0335334,0.449601,0.991125,0.131472,0.0135662,0.0142364
1822583011,0.207741,-0.880349,-0.280529,-2.758,-0.257562,1.91966,-0.172911,0.00050127,-0.015159,-0.0374972,-0.0352781,-0.0421039,0.0332743,-0.087145,-0.0107853,0.326159,0.806785,0.759039,0.905902,-0.715925,1.875,0.296484,-0.0355378,0.447124,0.989898,0.140221,0.0145226,0.0151265
1869060348,0.207752,-0.880702,-0.2814,-2.75882,-0.258541,1.92043,-0.174936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296406,-0.0357586,0.446846,0.989755,0.141203,0.0146289,0.0152255
1869060348,0.207752,-0.880702,-0.2814,-2.75882,-0.258541,1.92043,-0.174936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296406,-0.0357586,0.446846,0.989755,0.141203,0.0146289,0.0152255
1969060348,0.207494,-0.882116,-0.285804,-2.76239,-0.263285,1.92435,-0.184311,-0.00516321,-0.0282942,-0.0880734,-0.0714507,-0.0948848,0.0783786,-0.1875,-0.0516321,-0.282942,-0.880734,-0.714507,-0.948848,0.783786,-1.875,0.296118,-0.0369924,0.445606,0.989116,0.145499,0.0152707,0.0156718
2069060348,0.20672,-0.886361,-0.299015,-2.77311,-0.277518,1.93611,-0.212436,-0.0103264,-0.0565884,-0.176147,-0.142901,-0.18977,0.156757,-0.375,-0.0516321,-0.282942,-0.880734,-0.714507,-0.948848,0.783786,-1.875,0.29522,-0.0405972,0.441869,0.98707,0.158458,0.0171753,0.0170036
2169060348,0.205513,-0.892976,-0.319606,-2.78982,-0.299701,1.95444,-0.256272,-0.0113326,-0.0621022,-0.19331,-0.156826,-0.20826,0.172031,-0.411539,0.0516321,0.282942,0.880734,0.714507,0.948848,-0.783786,1.875,0.293716,-0.0459239,0.436001,0.983484,0.178866,0.0200914,0.019055
2269060348,0.204637,-0.897771,-0.334533,-2.80193,-0.315783,1.96772,-0.288051,-0.0061694,-0.0338081,-0.105237,-0.0853748,-0.113376,0.0936527,-0.224039,0.0516321,0.282942,0.880734,0.714507,0.948848,-0.783786,1.875,0.292552,-0.0495598,0.431717,0.980573,0.193813,0.0221747,0.0205206
2369060348,0.204279,-0.899737,-0.340653,-2.80689,-0.322376,1.97317,-0.30108,-0.00100619,-0.00551387,-0.0171634,-0.0139241,-0.0184908,0.0152741,-0.0365394,0.0516321,0.282942,0.880734,0.714507,0.948848,-0.783786,1.875,0.292058,-0.0509952,0.429955,0.979303,0.199976,0.0230233,0.0211157
2388548003,0.204269,-0.899791,-0.340821,-2.80703,-0.322557,1.97331,-0.301436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292045,-0.0510339,0.429907,0.979267,0.200144,0.0230464,0.0211319
2388548003,0.204269,-0.899791,-0.340821,-2.80703,-0.322557,1.97331,-0.301436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292045,-0.0510339,0.429907,0.979267,0.200144,0.0230464,0.0211319
2488548003,0.203746,-0.900911,-0.345599,-2.8103,-0.327408,1.97748,-0.310811,-0.0104532,-0.0223927,-0.0955746,-0.0655527,-0.0970212,0.0832152,-0.1875,-0.104532,-0.223927,-0.955746,-0.655527,-0.970212,0.832152,-1.875,0.291763,-0.0522548,0.428682,0.978378,0.204329,0.0237553,0.0215107
2588548003,0.202178,-0.904269,-0.359936,-2.82014,-0.341961,1.98996,-0.338936,-0.0209063,-0.0447854,-0.191149,-0.131105,-0.194042,0.16643,-0.375,-0.104532,-0.223927,-0.955746,-0.655527,-0.970212,0.832152,-1.875,0.290878,-0.0558173,0.424998,0.975579,0.216941,0.0258748,0.022646
2688548003,0.199849,-0.909258,-0.381228,-2.83474,-0.363575,2.0085,-0.380707,-0.0204517,-0.0438115,-0.186993,-0.128254,-0.189823,0.162811,-0.366846,0.104532,0.223927,0.955746,0.655527,0.970212,-0.832152,1.875,0.289461,-0.0608286,0.419495,0.971057,0.235828,0.0290115,0.0243278
